"Measurement outcome","Frequency"
"000000","1656"
"000001","57"
"000010","32"
"000011","31"
"000100","37"
"000101","3"
"000110","23"
"000111","22"
"001000","21"
"001001","1"
"001010","1"
"001011","2"
"001100","18"
"001101","1"
"001110","15"
"001111","28"
"010000","40"
"010001","4"
"010010","2"
"010011","1"
"010100","4"
"010110","6"
"010111","2"
"011000","23"
"011001","2"
"011010","2"
"011011","2"
"011100","22"
"011101","8"
"011110","25"
"011111","139"
"100000","153"
"100001","6"
"100010","9"
"100011","3"
"100100","8"
"100101","4"
"100111","5"
"101000","9"
"101001","2"
"101010","1"
"101100","2"
"101101","2"
"101110","3"
"101111","7"
"110000","118"
"110001","5"
"110010","4"
"110011","2"
"110100","6"
"110110","9"
"110111","7"
"111000","74"
"111001","8"
"111010","9"
"111011","2"
"111100","82"
"111101","10"
"111110","83"
"111111","137"
