"Measurement outcome","Frequency"
"000000","1941"
"000001","35"
"000010","31"
"000011","15"
"000100","30"
"000101","1"
"000110","15"
"000111","15"
"001000","28"
"001001","1"
"001011","1"
"001100","29"
"001101","1"
"001110","21"
"001111","17"
"010000","18"
"010100","2"
"010110","2"
"011000","9"
"011010","1"
"011011","1"
"011100","13"
"011110","14"
"011111","8"
"100000","137"
"100001","5"
"100010","2"
"100011","1"
"100100","2"
"100110","1"
"100111","2"
"101000","12"
"101010","2"
"101011","3"
"101100","16"
"101101","1"
"101110","6"
"101111","5"
"110000","134"
"110001","5"
"110010","6"
"110011","2"
"110100","11"
"110110","11"
"110111","9"
"111000","93"
"111001","3"
"111010","14"
"111011","8"
"111100","120"
"111101","7"
"111110","71"
"111111","62"
