"Measurement outcome","Frequency"
"000000","1823"
"000001","37"
"000010","30"
"000011","14"
"000100","23"
"000101","1"
"000110","30"
"000111","20"
"001000","20"
"001011","2"
"001100","17"
"001101","1"
"001110","19"
"001111","11"
"010000","11"
"010110","1"
"011000","18"
"011010","3"
"011100","13"
"011101","1"
"011110","19"
"011111","7"
"100000","99"
"100001","4"
"100011","3"
"100110","3"
"101000","7"
"101011","1"
"101100","11"
"101110","5"
"101111","7"
"110000","171"
"110001","6"
"110010","2"
"110011","5"
"110100","7"
"110110","10"
"110111","7"
"111000","148"
"111001","3"
"111010","10"
"111011","9"
"111100","115"
"111101","9"
"111110","163"
"111111","74"
